artists,track_name,id,uri,track_href,analysis_url,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Cao Thai Son,Dù Thế Nào Đi Nữa,4kmHIxfBbjkHYbLK6kLTqc,spotify:track:4kmHIxfBbjkHYbLK6kLTqc,https://api.spotify.com/v1/tracks/4kmHIxfBbjkHYbLK6kLTqc,https://api.spotify.com/v1/audio-analysis/4kmHIxfBbjkHYbLK6kLTqc,0,0.616,0.478,2,-8.958,1,0.0284,0.6559999999999999,0.0,0.165,0.311,116.041,263419,4
Đan Trường,Nhớ Người Tình Xa,1zsx3IFc4FagIZZVOP9ap9,spotify:track:1zsx3IFc4FagIZZVOP9ap9,https://api.spotify.com/v1/tracks/1zsx3IFc4FagIZZVOP9ap9,https://api.spotify.com/v1/audio-analysis/1zsx3IFc4FagIZZVOP9ap9,0,0.561,0.745,5,-6.153,0,0.0607,0.00845,1.1e-05,0.14,0.39399999999999996,139.03,276558,4
Cẩm Vân,Người Đàn Bà Yếu Đuối,2wXGUQjG2wnZMDI3y2zVuN,spotify:track:2wXGUQjG2wnZMDI3y2zVuN,https://api.spotify.com/v1/tracks/2wXGUQjG2wnZMDI3y2zVuN,https://api.spotify.com/v1/audio-analysis/2wXGUQjG2wnZMDI3y2zVuN,0,0.647,0.507,8,-5.38,1,0.0356,0.409,0.0,0.23199999999999998,0.335,118.751,337789,4
Cẩm Vân,Con Yêu,3CsCizlObDgMCVTk9EcAMe,spotify:track:3CsCizlObDgMCVTk9EcAMe,https://api.spotify.com/v1/tracks/3CsCizlObDgMCVTk9EcAMe,https://api.spotify.com/v1/audio-analysis/3CsCizlObDgMCVTk9EcAMe,0,0.423,0.424,2,-6.382000000000001,0,0.0287,0.20199999999999999,1.1e-06,0.0967,0.16,80.005,243487,4
Cẩm Vân,Triệu Triệu Bông Hồng,2C1KLEX8CfPhU8GeXl8LrV,spotify:track:2C1KLEX8CfPhU8GeXl8LrV,https://api.spotify.com/v1/tracks/2C1KLEX8CfPhU8GeXl8LrV,https://api.spotify.com/v1/audio-analysis/2C1KLEX8CfPhU8GeXl8LrV,0,0.578,0.451,0,-11.815,1,0.0386,0.659,0.00856,0.114,0.789,84.956,234000,4
Tuấn Hưng,Nếu Có Lỡ Xa Lìa Nhau,3mmfRhbtDPSVU42CfAS0Pt,spotify:track:3mmfRhbtDPSVU42CfAS0Pt,https://api.spotify.com/v1/tracks/3mmfRhbtDPSVU42CfAS0Pt,https://api.spotify.com/v1/audio-analysis/3mmfRhbtDPSVU42CfAS0Pt,0,0.736,0.8059999999999999,0,-4.1160000000000005,1,0.0351,0.153,0.0,0.155,0.7140000000000001,117.02600000000001,253048,4
Jimmi Nguyen,Tình Đợi Mong,72y7VtchDTV1ESwdgssCiQ,spotify:track:72y7VtchDTV1ESwdgssCiQ,https://api.spotify.com/v1/tracks/72y7VtchDTV1ESwdgssCiQ,https://api.spotify.com/v1/audio-analysis/72y7VtchDTV1ESwdgssCiQ,0,0.395,0.33799999999999997,3,-13.255999999999998,0,0.0386,0.55,0.0,0.135,0.292,105.039,284395,3
Jimmi Nguyen,Yêu Trộm,66x3K8BIpXZqwJHJz7ah4z,spotify:track:66x3K8BIpXZqwJHJz7ah4z,https://api.spotify.com/v1/tracks/66x3K8BIpXZqwJHJz7ah4z,https://api.spotify.com/v1/audio-analysis/66x3K8BIpXZqwJHJz7ah4z,0,0.619,0.479,5,-8.59,1,0.0287,0.147,0.0,0.209,0.43,127.368,255634,4
Jimmi Nguyen,Chuyện Ngày Xưa Đó,5hq9mVCDFApuXWIaUP2LCs,spotify:track:5hq9mVCDFApuXWIaUP2LCs,https://api.spotify.com/v1/tracks/5hq9mVCDFApuXWIaUP2LCs,https://api.spotify.com/v1/audio-analysis/5hq9mVCDFApuXWIaUP2LCs,0,0.6459999999999999,0.29100000000000004,4,-12.492,0,0.0356,0.595,0.0,0.17300000000000001,0.245,128.244,268696,4
Jimmi Nguyen,Tình Đầu,5kPUKX0xM6Ji0VZw1clC0o,spotify:track:5kPUKX0xM6Ji0VZw1clC0o,https://api.spotify.com/v1/tracks/5kPUKX0xM6Ji0VZw1clC0o,https://api.spotify.com/v1/audio-analysis/5kPUKX0xM6Ji0VZw1clC0o,0,0.764,0.522,0,-10.187000000000001,1,0.0364,0.125,0.000101,0.139,0.782,101.052,270367,4
Jimmi Nguyen,Vô Tình,34AfJyzvhuzmYbfT2uEHzw,spotify:track:34AfJyzvhuzmYbfT2uEHzw,https://api.spotify.com/v1/tracks/34AfJyzvhuzmYbfT2uEHzw,https://api.spotify.com/v1/audio-analysis/34AfJyzvhuzmYbfT2uEHzw,0,0.611,0.284,3,-11.869000000000002,0,0.0257,0.467,1.34e-05,0.149,0.276,91.101,354247,4
Jimmi Nguyen,Ngày Đó Có Em,4tJ4gtIkW02bZFrBY9DaOY,spotify:track:4tJ4gtIkW02bZFrBY9DaOY,https://api.spotify.com/v1/tracks/4tJ4gtIkW02bZFrBY9DaOY,https://api.spotify.com/v1/audio-analysis/4tJ4gtIkW02bZFrBY9DaOY,0,0.5,0.48100000000000004,9,-9.199,0,0.0275,0.16899999999999998,1.11e-05,0.0571,0.306,75.872,303282,4
Jimmi Nguyen,Còn Đây Nỗi Nhớ,4RNzzwzbto7lf0T7Y5Cqd9,spotify:track:4RNzzwzbto7lf0T7Y5Cqd9,https://api.spotify.com/v1/tracks/4RNzzwzbto7lf0T7Y5Cqd9,https://api.spotify.com/v1/audio-analysis/4RNzzwzbto7lf0T7Y5Cqd9,0,0.698,0.415,5,-10.712,0,0.0347,0.21100000000000002,0.0,0.0648,0.795,140.046,263863,4
Jimmi Nguyen,Một Hình Dung,0zB4QWV5PTK2OiYEtORsKn,spotify:track:0zB4QWV5PTK2OiYEtORsKn,https://api.spotify.com/v1/tracks/0zB4QWV5PTK2OiYEtORsKn,https://api.spotify.com/v1/audio-analysis/0zB4QWV5PTK2OiYEtORsKn,0,0.7090000000000001,0.505,9,-11.52,1,0.0299,0.12,0.0,0.0795,0.49,123.956,259396,4
Jimmi Nguyen,Tình Yêu Còn Xa,4AmzEgdSjPhJHXpO6Ljj05,spotify:track:4AmzEgdSjPhJHXpO6Ljj05,https://api.spotify.com/v1/tracks/4AmzEgdSjPhJHXpO6Ljj05,https://api.spotify.com/v1/audio-analysis/4AmzEgdSjPhJHXpO6Ljj05,0,0.691,0.41100000000000003,4,-11.713,0,0.0302,0.598,2.3e-05,0.188,0.456,134.009,252291,4
Jimmi Nguyen,Đợi Em Về,5bGTTSScBtbAbgmkwLve5n,spotify:track:5bGTTSScBtbAbgmkwLve5n,https://api.spotify.com/v1/tracks/5bGTTSScBtbAbgmkwLve5n,https://api.spotify.com/v1/audio-analysis/5bGTTSScBtbAbgmkwLve5n,0,0.593,0.467,4,-11.359000000000002,1,0.0324,0.22,0.0,0.125,0.308,130.041,316056,4
Đan Trường,Dòng Máu Lạc Hồng,4X6JYAuNs6NpJLmwrLnVHm,spotify:track:4X6JYAuNs6NpJLmwrLnVHm,https://api.spotify.com/v1/tracks/4X6JYAuNs6NpJLmwrLnVHm,https://api.spotify.com/v1/audio-analysis/4X6JYAuNs6NpJLmwrLnVHm,0,0.436,0.5770000000000001,4,-7.652,0,0.0628,0.19399999999999998,0.0102,0.12,0.40299999999999997,179.905,391027,4
Quang Vinh and Bảo Thy,Ngọn Đồi Chong Chóng,2CWjYAvRjDHSfAVDDp1k69,spotify:track:2CWjYAvRjDHSfAVDDp1k69,https://api.spotify.com/v1/tracks/2CWjYAvRjDHSfAVDDp1k69,https://api.spotify.com/v1/audio-analysis/2CWjYAvRjDHSfAVDDp1k69,0,0.687,0.5329999999999999,2,-9.415,1,0.0447,0.35100000000000003,0.0,0.273,0.28,137.933,231210,4
Duy Manh,Ngày Đón Em Về,3z4M7jKV1RTs0IzKru70s4,spotify:track:3z4M7jKV1RTs0IzKru70s4,https://api.spotify.com/v1/tracks/3z4M7jKV1RTs0IzKru70s4,https://api.spotify.com/v1/audio-analysis/3z4M7jKV1RTs0IzKru70s4,0,0.705,0.575,7,-5.529,0,0.026000000000000002,0.545,0.0,0.10099999999999999,0.504,104.068,260362,4
Quang Vinh,Tình Yêu Tìm Thấy,6aXOt1crGUeZpkDOojS3Ig,spotify:track:6aXOt1crGUeZpkDOojS3Ig,https://api.spotify.com/v1/tracks/6aXOt1crGUeZpkDOojS3Ig,https://api.spotify.com/v1/audio-analysis/6aXOt1crGUeZpkDOojS3Ig,0,0.677,0.575,4,-10.075,0,0.0357,0.809,6.159999999999999e-05,0.107,0.6409999999999999,83.022,237984,4
Vũ.,Phút Ban Đầu,5QZxwgUSEvcGgj8z8MfkUN,spotify:track:5QZxwgUSEvcGgj8z8MfkUN,https://api.spotify.com/v1/tracks/5QZxwgUSEvcGgj8z8MfkUN,https://api.spotify.com/v1/audio-analysis/5QZxwgUSEvcGgj8z8MfkUN,0,0.467,0.0889,1,-13.165,1,0.0393,0.9520000000000001,9.92e-05,0.11599999999999999,0.159,134.906,243200,4
Đàm Vĩnh Hưng,Em Da Quen Mot Dong Song,6np7UUrYlRZEAa5b7gCOAB,spotify:track:6np7UUrYlRZEAa5b7gCOAB,https://api.spotify.com/v1/tracks/6np7UUrYlRZEAa5b7gCOAB,https://api.spotify.com/v1/audio-analysis/6np7UUrYlRZEAa5b7gCOAB,0,0.741,0.778,2,-10.394,1,0.0452,0.0522,0.000205,0.0932,0.7140000000000001,140.017,213295,4
Đan Trường,Vẫn Mãi Cô Đơn,43KFrjEXggcunGBoqHxh2h,spotify:track:43KFrjEXggcunGBoqHxh2h,https://api.spotify.com/v1/tracks/43KFrjEXggcunGBoqHxh2h,https://api.spotify.com/v1/audio-analysis/43KFrjEXggcunGBoqHxh2h,0,0.7809999999999999,0.508,5,-11.294,0,0.0422,0.365,0.00253,0.044000000000000004,0.85,99.988,309838,4
Jimmi Nguyen,Người Đã Xa Rồi,1jiZympVbhOaZl38d3jG3M,spotify:track:1jiZympVbhOaZl38d3jG3M,https://api.spotify.com/v1/tracks/1jiZympVbhOaZl38d3jG3M,https://api.spotify.com/v1/audio-analysis/1jiZympVbhOaZl38d3jG3M,0,0.583,0.40299999999999997,9,-9.674,1,0.0337,0.248,0.0,0.115,0.165,69.8,240431,4
Hoang Thuy Linh,Fall In Love,5roIqBOfs7unk4KsPEEbar,spotify:track:5roIqBOfs7unk4KsPEEbar,https://api.spotify.com/v1/tracks/5roIqBOfs7unk4KsPEEbar,https://api.spotify.com/v1/audio-analysis/5roIqBOfs7unk4KsPEEbar,0,0.738,0.8140000000000001,7,-4.053,0,0.0426,0.16,1.41e-06,0.105,0.7440000000000001,139.94799999999998,226286,4
Cẩm Ly and Đan Trường,Chim Trắng Mồ Côi,7dEfsgAzoZ1ZnwoNIt0SRN,spotify:track:7dEfsgAzoZ1ZnwoNIt0SRN,https://api.spotify.com/v1/tracks/7dEfsgAzoZ1ZnwoNIt0SRN,https://api.spotify.com/v1/audio-analysis/7dEfsgAzoZ1ZnwoNIt0SRN,0,0.583,0.483,7,-13.453,0,0.0384,0.613,7.73e-06,0.39899999999999997,0.584,129.97899999999998,330984,4
