artists,track_name,id,uri,track_href,analysis_url,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Sơn Tùng M-TP,Chắc Ai Đó Sẽ Về,2g9jxHI2KqSS1MRwS7e95x,spotify:track:2g9jxHI2KqSS1MRwS7e95x,https://api.spotify.com/v1/tracks/2g9jxHI2KqSS1MRwS7e95x,https://api.spotify.com/v1/audio-analysis/2g9jxHI2KqSS1MRwS7e95x,47,0.531,0.65,4,-7.7639999999999985,0,0.0809,0.923,0.782,0.151,0.386,137.85299999999998,262164,3
Sơn Tùng M-TP,DnB Chill (Original Mix),7wQsClvLfp0BEIXXsVhFDU,spotify:track:7wQsClvLfp0BEIXXsVhFDU,https://api.spotify.com/v1/tracks/7wQsClvLfp0BEIXXsVhFDU,https://api.spotify.com/v1/audio-analysis/7wQsClvLfp0BEIXXsVhFDU,0,0.301,0.4270000000000001,9,-10.823,0,0.0282,0.254,0.8909999999999999,0.244,0.429,78.24600000000002,216000,4
Sơn Tùng M-TP,Thái Bình Mồ Hôi Rơi,77WB1SRD0tGgkKQFIWCISJ,spotify:track:77WB1SRD0tGgkKQFIWCISJ,https://api.spotify.com/v1/tracks/77WB1SRD0tGgkKQFIWCISJ,https://api.spotify.com/v1/audio-analysis/77WB1SRD0tGgkKQFIWCISJ,38,0.5329999999999999,0.442,3,-6.657,0,0.0288,0.3,2.75e-06,0.155,0.157,130.05,318093,4
Sơn Tùng M-TP,CÓ CHẮC YÊU LÀ ĐÂY,2z9iLlNBt1aLZUCFgXby97,spotify:track:2z9iLlNBt1aLZUCFgXby97,https://api.spotify.com/v1/tracks/2z9iLlNBt1aLZUCFgXby97,https://api.spotify.com/v1/audio-analysis/2z9iLlNBt1aLZUCFgXby97,57,0.746,0.7240000000000001,10,-3.976,0,0.0498,0.119,2.09e-05,0.0506,0.596,95.003,202105,4
Sơn Tùng M-TP,Chúng Ta Của Hiện Tại,17iGUekw5nFt5mIRJcUm3R,spotify:track:17iGUekw5nFt5mIRJcUm3R,https://api.spotify.com/v1/tracks/17iGUekw5nFt5mIRJcUm3R,https://api.spotify.com/v1/audio-analysis/17iGUekw5nFt5mIRJcUm3R,62,0.569,0.66,2,-5.268,1,0.0358,0.0675,0.0,0.202,0.4970000000000001,155.907,301538,4
Sơn Tùng M-TP,Chúng Ta Không Thuộc Về Nhau,6mwLlebZwvlCewF06M16nu,spotify:track:6mwLlebZwvlCewF06M16nu,https://api.spotify.com/v1/tracks/6mwLlebZwvlCewF06M16nu,https://api.spotify.com/v1/audio-analysis/6mwLlebZwvlCewF06M16nu,48,0.75,0.835,9,-4.698,0,0.0341,0.241,0.000209,0.153,0.487,102.992,233010,4
Sơn Tùng M-TP,Âm Thầm Bên Em,1Huy9G87D6pbIveFulsH0P,spotify:track:1Huy9G87D6pbIveFulsH0P,https://api.spotify.com/v1/tracks/1Huy9G87D6pbIveFulsH0P,https://api.spotify.com/v1/audio-analysis/1Huy9G87D6pbIveFulsH0P,54,0.498,0.462,10,-9.153,1,0.0273,0.883,0.00338,0.128,0.107,140.083,293112,4
Sơn Tùng M-TP,Muộn Rồi Mà Sao Còn,5fFLotKS1286huYIMQHqz7,spotify:track:5fFLotKS1286huYIMQHqz7,https://api.spotify.com/v1/tracks/5fFLotKS1286huYIMQHqz7,https://api.spotify.com/v1/audio-analysis/5fFLotKS1286huYIMQHqz7,63,0.888,0.418,0,-9.812,1,0.0573,0.665,0.0,0.111,0.531,127.073,275906,4
Sơn Tùng M-TP,Nơi Này Có Anh,5HbLlcJogki9rRq2KfkGQP,spotify:track:5HbLlcJogki9rRq2KfkGQP,https://api.spotify.com/v1/tracks/5HbLlcJogki9rRq2KfkGQP,https://api.spotify.com/v1/audio-analysis/5HbLlcJogki9rRq2KfkGQP,51,0.52,0.853,0,-5.249,1,0.0303,0.0446,0.000974,0.14400000000000002,0.328,91.994,260117,4
Sơn Tùng M-TP,Minh Chia Tay Nhe,0sOxTYftXN8C3CiWVoJoXG,spotify:track:0sOxTYftXN8C3CiWVoJoXG,https://api.spotify.com/v1/tracks/0sOxTYftXN8C3CiWVoJoXG,https://api.spotify.com/v1/audio-analysis/0sOxTYftXN8C3CiWVoJoXG,0,0.464,0.397,11,-9.263,0,0.0287,0.465,0.0,0.116,0.18600000000000005,146.143,247655,4
