artists,track_name,id,uri,track_href,analysis_url,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
Đen and Linh Cáo,Đưa Nhau Đi Trốn - Live At Show Của Đen,6fH70e3UxJFNmLApdijeGa,spotify:track:6fH70e3UxJFNmLApdijeGa,https://api.spotify.com/v1/tracks/6fH70e3UxJFNmLApdijeGa,https://api.spotify.com/v1/audio-analysis/6fH70e3UxJFNmLApdijeGa,44,0.663,0.9,0,-6.607,1,0.14,0.315,0,0.59,0.393,125.048,265822,4,1
Đen,Anh Đếch Cần Gì Nhiều Ngoài Em - Live At Show Của Đen,6S7unWwOypztbchdoKA5gP,spotify:track:6S7unWwOypztbchdoKA5gP,https://api.spotify.com/v1/tracks/6S7unWwOypztbchdoKA5gP,https://api.spotify.com/v1/audio-analysis/6S7unWwOypztbchdoKA5gP,39,0.374,0.753,7,-6.937,0,0.159,0.235,0,0.303,0.499,199.797,246251,3,1
Mer and thaison!,Giấc Mơ Rất Thơ,0xMIMrT7Vmwsejznw8LJAE,spotify:track:0xMIMrT7Vmwsejznw8LJAE,https://api.spotify.com/v1/tracks/0xMIMrT7Vmwsejznw8LJAE,https://api.spotify.com/v1/audio-analysis/0xMIMrT7Vmwsejznw8LJAE,46,0.745,0.57,4,-9.121,1,0.218,0.654,0.00284,0.119,0.293,170.099,172993,4,0
Quang Linh,Ca Dao Em Và Tôi,6CHJ3a1nCp9mx7D9i5KlGA,spotify:track:6CHJ3a1nCp9mx7D9i5KlGA,https://api.spotify.com/v1/tracks/6CHJ3a1nCp9mx7D9i5KlGA,https://api.spotify.com/v1/audio-analysis/6CHJ3a1nCp9mx7D9i5KlGA,2,0.577,0.398,3,-12.553,0,0.0313,0.0614,2.21E-05,0.0869,0.766,132.543,380447,4,0
AMEE and Hoang Dung,nàng thơ... trời giấu trời mang đi,1PSmJr2mHzDjYXrKvQPKb0,spotify:track:1PSmJr2mHzDjYXrKvQPKb0,https://api.spotify.com/v1/tracks/1PSmJr2mHzDjYXrKvQPKb0,https://api.spotify.com/v1/audio-analysis/1PSmJr2mHzDjYXrKvQPKb0,48,0.463,0.306,8,-11.814,0,0.0421,0.883,0,0.113,0.301,92.827,262151,4,0
Đen and Kaang,Mưa Trên Những Mái Tôn,2amqqr1qK2pAX2dFslerrn,spotify:track:2amqqr1qK2pAX2dFslerrn,https://api.spotify.com/v1/tracks/2amqqr1qK2pAX2dFslerrn,https://api.spotify.com/v1/audio-analysis/2amqqr1qK2pAX2dFslerrn,40,0.726,0.801,6,-4.644,1,0.13,0.338,0,0.092,0.358,123.97,186208,4,1
1 9 6 7 and Orange and Hoàng Dũng,Khi Em Lớn - Lo-fi Ver by 1 9 6 7,2kjPw7CcZwXHKkHiKVom6s,spotify:track:2kjPw7CcZwXHKkHiKVom6s,https://api.spotify.com/v1/tracks/2kjPw7CcZwXHKkHiKVom6s,https://api.spotify.com/v1/audio-analysis/2kjPw7CcZwXHKkHiKVom6s,3,0.608,0.471,7,-5.709,0,0.0351,0.736,0.000614,0.389,0.0552,119.904,230060,4,0
RAP VIỆT and Yuno Bigboi,Gu Của Anh Là Châu Á (feat. Yuno Bigboi),1Kw6A6tQnEI82QVSdWL2ev,spotify:track:1Kw6A6tQnEI82QVSdWL2ev,https://api.spotify.com/v1/tracks/1Kw6A6tQnEI82QVSdWL2ev,https://api.spotify.com/v1/audio-analysis/1Kw6A6tQnEI82QVSdWL2ev,31,0.727,0.863,9,-3.768,0,0.267,0.128,0,0.12,0.712,160.274,180000,4,0
Hong Nhung,Ru Tình,4aicQyctowDmaokDqrmgXd,spotify:track:4aicQyctowDmaokDqrmgXd,https://api.spotify.com/v1/tracks/4aicQyctowDmaokDqrmgXd,https://api.spotify.com/v1/audio-analysis/4aicQyctowDmaokDqrmgXd,0,0.595,0.131,2,-17.12,0,0.0324,0.795,0.000546,0.32,0.205,122.106,371096,4,0
Đen,Mơ - Live At Show Của Đen,7HYT9fyOhJBpuev4OdicNK,spotify:track:7HYT9fyOhJBpuev4OdicNK,https://api.spotify.com/v1/tracks/7HYT9fyOhJBpuev4OdicNK,https://api.spotify.com/v1/audio-analysis/7HYT9fyOhJBpuev4OdicNK,40,0.421,0.835,9,-5.199,1,0.105,0.122,0,0.587,0.236,172.088,233429,4,1
Kha,H In My Arms,0yEIvBtPsxh7K7VHC2b7vT,spotify:track:0yEIvBtPsxh7K7VHC2b7vT,https://api.spotify.com/v1/tracks/0yEIvBtPsxh7K7VHC2b7vT,https://api.spotify.com/v1/audio-analysis/0yEIvBtPsxh7K7VHC2b7vT,46,0.869,0.428,8,-6.811,1,0.0459,0.609,0.000212,0.182,0.549,139.998,192857,4,0
Hoang Ton,Only U,20aPo7bf0IrwfZvBXDHsnh,spotify:track:20aPo7bf0IrwfZvBXDHsnh,https://api.spotify.com/v1/tracks/20aPo7bf0IrwfZvBXDHsnh,https://api.spotify.com/v1/audio-analysis/20aPo7bf0IrwfZvBXDHsnh,9,0.686,0.534,2,-5.712,1,0.0298,0.119,0,0.304,0.17,120.121,206000,4,0
Duy Manh,Lời Sám Hối Của Kẻ Hấp Hối,5ZHfu3y6VzX0DnqybaYh7s,spotify:track:5ZHfu3y6VzX0DnqybaYh7s,https://api.spotify.com/v1/tracks/5ZHfu3y6VzX0DnqybaYh7s,https://api.spotify.com/v1/audio-analysis/5ZHfu3y6VzX0DnqybaYh7s,14,0.553,0.297,4,-12.209,0,0.0279,0.677,0,0.0816,0.372,89.903,325440,4,0
Ngô Kiến Huy and Masew,Truyen Thai Y (feat. Masew),70SyyW2Z1A5UNY3g8bPo5I,spotify:track:70SyyW2Z1A5UNY3g8bPo5I,https://api.spotify.com/v1/tracks/70SyyW2Z1A5UNY3g8bPo5I,https://api.spotify.com/v1/audio-analysis/70SyyW2Z1A5UNY3g8bPo5I,41,0.872,0.745,8,-4.732,0,0.0429,0.538,0.000859,0.0757,0.667,122.054,181014,4,0
Thanh Hưng,Sai Người Sai Thời Điểm,7KpimnB2fw1ixHWBwZL4hw,spotify:track:7KpimnB2fw1ixHWBwZL4hw,https://api.spotify.com/v1/tracks/7KpimnB2fw1ixHWBwZL4hw,https://api.spotify.com/v1/audio-analysis/7KpimnB2fw1ixHWBwZL4hw,36,0.402,0.383,7,-10.037,1,0.0295,0.879,0,0.075,0.342,135.014,370024,4,0
Đan Trường,Yêu Em Trong Mơ,0BLxdYPZL79iwjCXhPvnJf,spotify:track:0BLxdYPZL79iwjCXhPvnJf,https://api.spotify.com/v1/tracks/0BLxdYPZL79iwjCXhPvnJf,https://api.spotify.com/v1/audio-analysis/0BLxdYPZL79iwjCXhPvnJf,0,0.724,0.323,2,-12.923,0,0.0345,0.299,7.26E-06,0.168,0.105,136.059,262008,4,0
