artists,track_name,id,uri,track_href,analysis_url,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
Bằng Kiều,Toi Thay Hoa Vang Tren Co Xanh,2jR0cl8PKHA1r7xeQxKRt5,spotify:track:2jR0cl8PKHA1r7xeQxKRt5,https://api.spotify.com/v1/tracks/2jR0cl8PKHA1r7xeQxKRt5,https://api.spotify.com/v1/audio-analysis/2jR0cl8PKHA1r7xeQxKRt5,0,0.488,0.346,9,-9.666,0,0.0272,0.936,0.000164,0.123,0.262,78.073,282307,4,0
D1Verse,MONSTER,1x7ydFMWWPo6Bs3QxnY5SE,spotify:track:1x7ydFMWWPo6Bs3QxnY5SE,https://api.spotify.com/v1/tracks/1x7ydFMWWPo6Bs3QxnY5SE,https://api.spotify.com/v1/audio-analysis/1x7ydFMWWPo6Bs3QxnY5SE,21,0.845,0.899,5,-4.041,0,0.0684,0.227,0,0.186,0.62,126.029,190200,4,0
Lâm Hùng,Khúc Ca Buồn,2PArym8FiFDvxGDuGhkvjF,spotify:track:2PArym8FiFDvxGDuGhkvjF,https://api.spotify.com/v1/tracks/2PArym8FiFDvxGDuGhkvjF,https://api.spotify.com/v1/audio-analysis/2PArym8FiFDvxGDuGhkvjF,2,0.553,0.648,7,-6.612,1,0.0541,0.254,1.11E-06,0.0543,0.475,131.982,257533,4,0
ERIK,"Em Không Sai, Chúng Ta Sai",3yWacnoBnM0lrzLmXAk44d,spotify:track:3yWacnoBnM0lrzLmXAk44d,https://api.spotify.com/v1/tracks/3yWacnoBnM0lrzLmXAk44d,https://api.spotify.com/v1/audio-analysis/3yWacnoBnM0lrzLmXAk44d,53,0.49,0.485,1,-6.632,1,0.0359,0.684,0,0.12,0.329,170.063,291529,4,0
Sơn Tùng M-TP,Như Ngày Hôm Qua,6BToHhGtbW8eMQFaEv0i2d,spotify:track:6BToHhGtbW8eMQFaEv0i2d,https://api.spotify.com/v1/tracks/6BToHhGtbW8eMQFaEv0i2d,https://api.spotify.com/v1/audio-analysis/6BToHhGtbW8eMQFaEv0i2d,46,0.809,0.612,2,-7.904,1,0.0279,0.169,2.49E-06,0.0784,0.752,109.99,222981,4,1
Lam Truong,Cạm bẫy,4h3JC53z8ndz575Pxpy3r8,spotify:track:4h3JC53z8ndz575Pxpy3r8,https://api.spotify.com/v1/tracks/4h3JC53z8ndz575Pxpy3r8,https://api.spotify.com/v1/audio-analysis/4h3JC53z8ndz575Pxpy3r8,2,0.589,0.563,9,-7.33,0,0.0478,0.526,0,0.24,0.483,160.02,270240,4,0
Phương Thanh,Mưa Bão Trong Lòng,79RrpFAWXOXhoIfo2SfjMw,spotify:track:79RrpFAWXOXhoIfo2SfjMw,https://api.spotify.com/v1/tracks/79RrpFAWXOXhoIfo2SfjMw,https://api.spotify.com/v1/audio-analysis/79RrpFAWXOXhoIfo2SfjMw,0,0.683,0.247,9,-9.397,0,0.0411,0.86,5.38E-05,0.0894,0.214,111.72,213682,4,0
Đức Phúc,Anh Ở Đây Mà,6w1XQT4FPrChQvsFqmxxKC,spotify:track:6w1XQT4FPrChQvsFqmxxKC,https://api.spotify.com/v1/tracks/6w1XQT4FPrChQvsFqmxxKC,https://api.spotify.com/v1/audio-analysis/6w1XQT4FPrChQvsFqmxxKC,29,0.502,0.369,8,-8.136,1,0.0289,0.605,0,0.307,0.191,67.043,246312,4,0
Sơn Tùng M-TP,Minh Chia Tay Nhe,0sOxTYftXN8C3CiWVoJoXG,spotify:track:0sOxTYftXN8C3CiWVoJoXG,https://api.spotify.com/v1/tracks/0sOxTYftXN8C3CiWVoJoXG,https://api.spotify.com/v1/audio-analysis/0sOxTYftXN8C3CiWVoJoXG,0,0.464,0.397,11,-9.263,0,0.0287,0.465,0,0.116,0.186,146.143,247655,4,1
Sơn Tùng M-TP,DnB Chill (Original Mix),7wQsClvLfp0BEIXXsVhFDU,spotify:track:7wQsClvLfp0BEIXXsVhFDU,https://api.spotify.com/v1/tracks/7wQsClvLfp0BEIXXsVhFDU,https://api.spotify.com/v1/audio-analysis/7wQsClvLfp0BEIXXsVhFDU,0,0.301,0.427,9,-10.823,0,0.0282,0.254,0.891,0.244,0.429,78.246,216000,4,1
